## Lee~Giaver, 2005 (PMID 16121259)
## Homozygous deletion collection, growth (relative abundance in pooled culture)
ORF	cisplatin [500 uM], time [5 generations]	cisplatin [500 uM], time [overnight + 20 generations]	carboplatin [15 mM], time [5 generations]	oxaliplatin [4 mM], time [5 generations]	psoralen [0.5 uM], time [5 generations], radiation [unknown]	angelicin irradiated (angelicin [62.5 uM], time [5 generations], radiation [unknown])	mechlorethamine [62.5 uM], time [overnight + 5 generations]	mechlorethamine [62.5 uM], time [overnight + 20 generations]	mitomycin C [1 mM], time [5 generations]	streptozocin [2 mM], time [5 generations]	streptozocin [2 mM], time [overnight + 20 generations]	methyl methanesulfonate [0.002%], time [5 generations]	camptothecin [30 ug/ml], time [5 generations]	camptothecin [30 ug/ml], time [overnight + 20 generations]	2-dimethylaminoethyl chloride [240 mM], time [5 generations]	4-nitroquinoline N-oxide [0.0313 uM], time [5 generations]
YOR097C	0.091	-0.169	0.017	-0.034	0.305	-0.174	0.031	0.280	-0.121	0.355	-0.113	0.045	0.081	0.271	0.303	0.080
YOR099W	-0.356	0.356	-0.571	-0.192	-0.701	-1.117	0.246	0.291	-0.143	-0.608	-0.004	-0.388	-0.293	0.163	-0.510	-0.119
YOR100C	-0.225	0.206	-0.202	-0.222	-0.177	-0.364	0.105	0.349	-0.374	-0.209	0.269	-0.479	-0.484	0.075	0.105	0.181
YOR101W	-0.227	0.361	-0.357	-0.241	0.005	-0.383	0.044	0.137	-0.493	0.050	0.209	-0.413	-0.342	0.194	-0.029	0.026
YOR104W	0.253	-0.335	0.580	-0.379	0.134	0.379	0.443	-0.725	1.099	0.308	-0.270	0.316	0.500	-0.178	0.471	1.111
YOR105W	-0.056	0.283	-0.263	-0.100	0.099	-0.295	-0.016	0.302	-0.222	0.186	0.161	-0.248	-0.149	0.223	0.130	0.075
YOR106W	-0.259	-1.402	-0.298	-0.150	0.055	-0.474	0.085	-0.573	0.426	0.489	-0.114	-0.196	-0.335	-0.982	0.380	-0.583
YOR107W	-0.130	-0.031	-0.418	-0.401	0.110	-0.220	0.063	0.145	-0.369	0.070	0.086	-0.330	-0.204	0.202	0.127	0.073
YOR108W	0.031	-0.097	-0.104	0.182	0.100	-0.118	0.105	0.140	-0.028	-0.026	-0.008	-0.244	-0.136	0.002	0.125	-0.211
YOR109W	-0.241	0.133	-0.394	-0.187	0.167	0.156	-0.098	0.354	-0.340	0.177	0.215	-0.256	-0.152	0.250	0.318	0.723
YOR111W	-0.152	0.516	-0.281	-0.150	-0.188	-0.174	0.160	0.446	-0.325	-0.029	0.187	-0.513	-0.381	0.038	0.126	0.016
YOR112W	-0.143	0.299	-0.231	-0.067	-0.125	-0.284	0.118	-0.032	-0.331	0.175	-0.152	-0.584	-0.348	-0.081	0.099	-0.968
YOR113W	-0.244	0.421	-0.402	-0.194	-0.088	-0.123	0.051	-0.062	-0.574	0.077	0.113	-0.505	-0.294	0.037	-0.075	-0.313
YOR114W	-0.177	0.391	-0.264	-0.109	-0.241	-0.216	0.206	0.515	-0.239	0.018	0.132	-0.519	-0.204	0.196	0.113	-0.040
YOR115C	-0.213	0.739	-0.323	-0.104	-0.383	-0.134	0.195	0.419	-0.053	0.158	0.275	-0.376	-0.312	0.001	0.197	-0.097
YOR118W	-0.044	0.308	-0.112	-0.073	-0.312	-0.247	0.240	-0.127	-0.258	-0.031	0.011	-0.106	0.089	0.221	-0.163	-0.172
YOR120W	0.194	-0.098	0.063	-0.039	0.102	0.141	0.285	-0.052	0.080	0.115	0.186	0.093	-0.023	0.086	-0.168	0.209
YOR121C	0.373	0.202	0.345	0.283	0.315	0.359	0.278	0.052	0.207	0.013	0.049	0.246	0.351	0.148	-0.004	0.284
YOR123C	0.328	-0.989	-0.056	0.019	0.023	0.089	-0.155	-0.910	0.243	0.005	-0.249	-0.148	0.043	0.580	0.308	-0.406
YOR124C	0.005	0.116	-0.167	-0.241	0.044	0.064	0.180	0.376	-0.172	0.182	0.012	-0.193	-0.133	0.087	0.192	0.104
YOR125C	-0.037	-0.295	-0.269	-0.005	-0.212	-0.129	0.275	-0.071	0.333	0.101	0.261	-0.269	-0.184	0.529	-0.370	0.142
YOR126C	-0.037	0.304	-0.177	-0.051	-0.017	-0.037	0.117	0.317	-0.206	0.040	0.236	-0.290	-0.180	0.171	0.265	0.138
YOR127W	-0.076	0.127	-0.163	-0.031	-0.267	-0.202	0.084	0.370	-0.448	-0.142	0.342	-0.427	-0.323	0.243	-0.020	0.087
YOR129C	0.213	-0.159	-0.092	-0.165	0.051	-0.117	0.320	0.043	-0.385	-0.181	-0.129	0.112	0.144	0.199	-0.344	0.336
YOR130C	-0.044	0.201	-0.274	-0.014	0.018	-0.087	0.070	0.308	-0.317	-0.048	0.078	-0.228	-0.092	0.213	0.025	0.259
YOR131C	-0.131	0.431	-0.331	-0.129	0.210	0.090	0.054	0.261	-0.279	0.243	0.177	-0.462	-0.187	0.010	0.270	-0.038
YOR132W	0.227	0.326	0.019	-0.130	0.299	0.098	0.137	0.026	0.267	0.142	-0.540	0.187	0.165	0.026	0.176	0.148
YOR133W	0.603	0.164	0.663	0.689	0.200	0.017	-0.035	0.023	0.612	0.013	-0.208	0.593	0.488	-0.018	0.043	0.136
YOR134W	-0.121	0.514	-0.260	-0.394	0.017	-0.120	0.316	0.112	-0.558	0.034	-0.082	-0.228	-0.244	0.045	-0.424	-0.006
YOR135C	0.057	-0.405	0.046	0.177	-0.315	-0.297	0.377	-0.642	0.417	-0.192	0.357	-0.071	-0.168	-0.537	-0.318	0.566
YOR136W	0.566	-0.194	0.381	-0.071	-0.115	-0.074	0.651	-0.808	0.344	0.274	-0.136	0.311	-0.176	0.429	0.369	0.873
YOR137C	0.200	0.060	0.202	0.257	-0.023	0.151	0.434	0.175	0.239	0.031	0.084	0.056	0.047	0.050	0.259	0.597
YOR138C	0.104	-0.262	-0.178	-0.334	0.439	0.343	-0.033	0.049	-0.644	0.162	-0.309	-0.014	0.024	-0.189	-0.172	0.749
YOR139C	-0.192	0.566	-0.481	-0.589	0.074	0.202	0.322	0.048	-0.829	-0.202	0.139	-0.308	-0.046	0.172	-1.147	0.940
YOR140W	-0.084	0.756	-0.319	-0.111	-0.015	-0.032	0.192	0.521	-0.511	0.058	0.255	-0.375	-0.225	0.371	-0.340	0.218
YOR141C	-0.002	-0.446	-0.073	-0.278	0.045	-0.006	-0.323	0.048	-0.795	-1.110	-0.537	-0.433	-0.496	-0.263	0.441	-1.317
YOR142W	-0.176	0.426	-0.391	-0.108	-0.116	-0.071	0.272	0.315	-0.289	-0.033	0.174	-0.383	-0.327	0.118	0.132	0.161
YOR144C	0.142	-0.089	-0.218	0.261	0.003	-0.156	0.138	-1.155	0.193	-1.058	-2.955	-0.695	-0.158	-0.556	-2.205	-0.013
YOR147W	0.310	0.654	-0.056	-0.153	0.080	-0.212	0.661	0.074	-0.194	-0.410	-0.044	-0.264	0.317	0.128	-0.612	0.071
YOR150W	0.238	-0.205	0.082	-0.033	-0.309	-0.488	-0.449	0.381	-1.473	0.053	-0.382	-0.069	-0.292	-0.133	-0.404	0.458
YOR152C	-0.119	0.423	-0.352	-0.151	0.226	0.200	0.041	0.390	-0.344	0.274	0.292	-0.481	-0.373	0.038	0.409	-0.062
YOR153W	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR154W	-0.379	-0.388	-0.590	-0.406	-0.133	-0.226	0.251	0.067	-0.514	-0.153	-0.059	-0.547	-0.549	0.021	-0.077	0.018
YOR155C	-0.202	0.522	-0.495	-0.246	0.188	0.026	0.236	0.461	-0.309	0.120	-0.033	-0.331	-0.294	0.117	0.025	-0.036
YOR156C	-0.208	-0.303	-0.458	-0.507	0.058	-0.056	0.105	-0.084	-0.319	-0.061	0.380	-0.341	-0.334	-0.296	-0.352	0.060
YOR158W	-0.930	-1.755	-0.176	-1.598	-0.529	-0.430	-0.005	0.607	-1.493	0.249	1.101	-0.061	0.111	0.243	-0.715	0.426
YOR161C	0.077	-0.155	0.237	0.023	0.130	-0.016	0.011	-0.003	-0.021	-0.001	0.001	0.213	0.312	0.166	0.154	-0.146
YOR162C	-0.056	-0.070	-0.095	-0.062	0.222	0.201	-0.026	-0.223	-0.389	-0.007	-0.004	-0.109	-0.206	-0.071	-0.086	-0.166
YOR163W	-0.080	0.482	-0.254	-0.120	0.143	0.009	0.045	0.364	-0.447	0.077	0.194	-0.257	-0.294	0.094	0.032	0.096
YOR164C	-0.198	0.060	-0.492	-0.790	0.111	0.097	0.082	-0.361	-0.253	0.190	0.315	-0.141	-0.286	0.082	-0.204	1.021
YOR165W	-0.031	-0.060	-0.364	-0.227	-0.141	-0.145	0.108	0.056	-0.255	-0.061	0.089	-0.117	-0.296	0.230	-0.122	0.011
YOR166C	-0.170	0.313	-0.274	-0.250	0.050	-0.014	0.043	0.185	-0.399	0.008	0.125	-0.479	-0.384	0.070	-0.022	0.038
YOR167C	0.297	0.192	-0.036	0.396	0.223	0.224	0.344	-0.173	0.325	0.390	0.470	-0.100	-0.086	0.512	0.288	0.393
YOR170W	0.090	-0.515	-0.432	0.043	-0.783	-1.053	0.510	-0.414	-0.084	-1.013	-0.036	0.256	0.333	0.387	-0.694	0.292
YOR171C	0.043	0.369	-0.098	0.155	0.101	0.340	0.112	-0.130	0.075	0.041	0.322	-0.139	-0.229	0.197	0.161	0.291
YOR172W	0.184	0.470	0.050	0.281	-0.178	0.086	0.215	0.208	0.190	-0.140	-0.100	-0.062	-0.003	0.059	0.135	0.219
YOR173W	-0.198	0.163	-0.403	-0.283	-0.034	0.019	0.158	0.323	-0.439	-0.100	0.072	-0.384	-0.278	0.041	-0.009	-0.032
YOR175C	-0.094	0.246	-0.326	0.060	0.020	0.141	0.060	0.182	-0.120	0.095	0.195	-0.371	-0.235	0.230	0.384	-0.038
YOR177C	-0.197	0.263	-0.281	0.018	-0.057	0.114	0.195	0.424	-0.259	0.029	0.311	-0.427	-0.325	0.093	0.177	0.056
YOR178C	-0.134	0.197	-0.362	-0.099	0.053	0.196	0.328	0.242	-0.278	-0.080	0.151	-0.333	-0.303	0.054	0.098	0.062
YOR179C	0.174	0.180	-0.011	0.263	0.008	0.006	0.667	-0.197	0.321	0.009	0.303	-0.029	0.120	0.492	0.264	0.193
YOR180C	0.035	0.456	-0.132	-0.145	0.165	0.150	0.222	0.352	-0.096	0.225	0.169	-0.208	0.087	0.140	0.097	-0.105
YOR182C	0.703	0.493	0.229	0.841	0.136	0.305	0.728	-0.246	1.200	0.392	0.818	0.178	-0.081	0.413	0.646	0.455
YOR183W	0.940	0.018	0.603	0.948	0.353	0.611	0.919	0.015	1.399	0.551	0.338	0.388	0.244	-0.292	0.349	0.568
YOR184W	-0.118	0.492	-0.318	-0.387	0.076	0.048	0.226	0.304	-0.246	-0.179	0.248	-0.168	-0.159	0.155	-0.147	0.336
YOR185C	-0.077	0.556	-0.226	-0.170	0.061	0.183	0.140	0.371	-0.269	0.227	0.172	-0.345	-0.248	0.159	0.418	0.045
YOR186W	-0.024	0.247	-0.129	-0.091	0.028	0.151	0.288	-0.081	0.033	-0.025	0.194	-0.150	-0.189	0.324	0.056	0.097
YOR187W	0.215	-0.616	0.432	0.412	-0.521	-0.560	-0.048	-0.128	0.134	-0.329	-0.120	0.012	-0.127	0.424	-0.319	0.507
YOR188W	-0.091	0.291	-0.175	-0.087	-0.050	0.127	0.148	0.115	-0.153	0.030	0.061	-0.331	-0.242	-0.034	0.197	0.148
YOR189W	-0.163	0.585	-0.233	-0.072	-0.322	-0.421	0.202	0.498	-0.143	-0.479	-0.069	-0.520	-0.255	-0.102	-0.390	-0.256
YOR190W	0.199	0.559	0.156	0.119	0.282	-0.295	0.397	0.352	-0.056	0.537	0.234	0.269	0.436	0.282	0.115	0.234
YOR191W	-0.225	0.486	-0.377	-0.161	-0.199	-0.488	0.525	0.242	-0.344	-0.084	0.200	-0.265	-0.263	0.131	-0.139	0.047
YOR192C	0.039	0.249	-0.166	0.041	-0.159	-0.604	0.641	0.272	-0.036	-0.154	-0.037	-0.077	0.068	-0.044	-0.358	0.033
YOR193W	-0.125	0.327	-0.263	-0.050	0.124	-0.161	-0.027	0.430	-0.306	0.284	0.238	-0.318	-0.217	0.212	0.475	0.058
YOR195W	-0.408	0.019	-0.415	-0.508	0.063	-0.353	-0.113	0.070	-0.899	0.068	0.051	-0.386	-0.430	-0.015	-0.028	-0.119
YOR196C	0.836	-0.000	0.333	0.812	0.361	-0.257	0.594	-0.000	0.890	1.043	-0.000	-0.068	0.356	-0.000	-0.053	0.503
YOR197W	-0.318	-0.045	-0.309	-0.191	0.044	-0.351	0.209	0.296	-0.222	0.107	-0.121	-0.353	-0.294	0.093	0.061	-0.074
YOR198C	0.347	-1.096	1.269	0.154	0.044	0.139	-0.436	-0.943	0.692	0.165	-0.000	1.587	1.200	-0.000	-0.109	0.408
YOR199W	-0.862	-0.000	-0.882	-1.091	0.083	-0.080	0.521	-0.000	-1.430	-0.028	-0.000	-1.055	-0.720	-0.000	-0.642	-0.128
YOR200W	0.116	-0.147	0.175	-0.121	0.148	-0.584	0.358	0.540	-0.853	0.271	0.061	-0.042	-0.030	0.383	-0.277	0.284
YOR201C	0.400	-0.000	0.194	0.277	0.366	-0.228	0.239	-0.000	-0.326	0.553	-0.000	0.159	-0.008	-0.000	0.392	0.221
YOR202W	-0.238	0.666	-0.266	-0.084	0.085	-0.051	0.082	0.474	-0.277	0.147	0.297	-0.649	-0.440	0.057	0.291	-0.016
YOR205C	0.320	-0.000	0.258	0.484	0.008	-0.309	0.342	-0.000	-0.535	0.334	0.408	0.147	0.018	0.197	-0.072	0.961
YOR208W	-0.123	0.343	-0.246	-0.122	0.149	-0.062	-0.002	0.240	-0.276	0.270	0.051	-0.424	-0.274	0.026	0.241	-0.155
YOR209C	0.296	-0.000	-0.062	-0.644	-0.373	-1.132	1.076	-0.000	0.359	0.086	-0.000	0.047	0.185	-0.000	-0.964	0.336
YOR211C	0.433	-0.000	0.295	0.228	0.002	-0.233	0.536	-0.000	0.104	0.518	-0.000	-0.185	-0.211	-0.000	0.053	0.800
YOR213C	-0.140	0.520	-0.316	-0.065	-0.092	-0.247	0.371	0.243	-0.227	0.082	0.179	-0.463	-0.371	-0.098	0.174	-0.170
YOR214C	-0.082	0.589	-0.254	-0.066	0.121	-0.059	0.076	0.481	-0.248	0.262	0.117	-0.327	-0.166	0.026	0.255	-0.068
YOR215C	-0.140	0.687	-0.426	-0.112	-0.036	-0.148	0.104	0.180	-0.365	0.013	0.227	-0.275	-0.213	0.216	0.069	0.215
YOR216C	-0.326	-0.456	-0.173	-0.563	0.021	-0.075	-0.037	-0.087	-0.100	0.144	0.048	-0.302	-0.159	0.126	0.133	-0.222
YOR219C	-0.139	0.266	-0.311	-0.030	-0.013	-0.058	-0.066	0.200	-0.232	0.176	0.130	-0.346	-0.334	0.166	0.300	0.079
YOR220W	-0.073	0.588	-0.292	-0.294	0.269	0.051	-0.133	0.223	-0.188	0.323	0.001	-0.253	-0.085	0.031	0.156	-0.130
YOR221C	0.612	0.019	0.163	-0.790	0.252	-1.455	0.719	-0.328	0.464	0.111	-0.000	-1.267	-0.418	-0.000	0.007	1.323
YOR222W	-0.078	0.112	-0.336	-0.094	-0.098	0.000	0.124	0.442	-0.278	-0.053	0.308	-0.414	-0.255	0.107	0.028	0.174
YOR223W	-0.302	0.459	-0.313	-0.399	0.006	0.105	0.102	0.195	-0.371	0.089	0.243	-0.545	-0.484	-0.075	0.166	-0.086
YOR225W	-0.064	0.151	-0.354	-0.143	-0.023	-0.040	0.077	-0.124	-0.379	-0.031	0.104	-0.512	-0.306	0.142	-0.007	0.239
YOR226C	-0.170	0.570	-0.327	-0.033	0.110	-0.028	0.023	0.387	-0.253	0.249	0.272	-0.464	-0.337	0.171	0.364	-0.062
YOR227W	-0.082	0.345	-0.286	-0.098	0.316	0.322	0.180	0.283	-0.343	0.092	0.174	-0.292	-0.043	0.039	0.046	0.605
YOR228C	0.047	0.005	-0.143	0.324	0.026	-0.117	0.156	0.232	-0.316	0.211	-0.142	-0.162	0.262	0.416	-0.244	0.198
YOR229W	-0.061	0.404	-0.303	0.282	0.056	-0.291	0.189	0.117	-0.186	0.052	-0.119	-0.165	0.130	0.299	-0.110	0.065
YOR230W	-0.119	-0.270	-0.150	0.111	-0.203	-0.248	-0.557	0.063	0.114	-0.268	0.183	-0.112	-0.184	0.516	-0.130	0.054
YOR231W	1.044	0.281	1.264	1.111	0.798	0.729	-0.280	-0.525	0.924	0.332	-0.185	1.166	0.980	0.387	0.667	0.996
YOR233W	-0.215	0.205	-0.476	-0.285	0.073	-0.097	-0.045	0.214	-0.500	0.230	0.034	-0.456	-0.286	0.130	0.089	0.006
YOR234C	0.447	-0.229	-0.047	0.295	0.273	-0.038	0.392	0.094	0.394	0.286	0.642	0.034	-0.073	0.838	-0.213	0.310
YOR235W	0.659	1.241	0.180	0.626	0.074	0.120	0.806	0.256	1.074	0.278	0.482	0.142	0.067	0.547	-0.083	0.707
YOR237W	-0.255	0.607	-0.242	-0.243	0.161	-0.082	0.297	-0.068	-0.210	-0.129	0.377	-0.058	-0.177	-0.017	-0.258	0.791
YOR238W	-0.178	0.110	-0.124	-0.052	-0.139	0.033	0.031	0.110	-0.116	-0.036	0.159	-0.096	-0.194	0.246	-0.029	0.115
YOR239W	-0.137	0.464	-0.310	-0.137	0.196	0.210	-0.006	0.337	-0.244	0.218	0.293	-0.418	-0.266	0.074	0.380	-0.059
YOR240W	-0.323	0.545	-0.487	-0.270	-0.035	-0.249	0.279	0.381	-0.494	-0.101	-0.052	-0.441	-0.383	0.021	-0.056	0.071
YOR241W	0.672	-0.000	-0.100	0.340	-0.314	0.360	0.464	-0.000	1.703	0.251	-0.000	0.832	0.132	-0.000	0.808	0.979
YOR242C	-0.153	0.532	-0.413	-0.030	0.066	0.021	-0.007	0.491	-0.190	-0.024	0.261	-0.401	-0.223	0.132	-0.090	0.155
YOR243C	0.114	0.682	-0.221	0.263	0.039	-0.101	0.346	0.451	-0.183	-0.005	0.243	-0.251	-0.172	0.017	0.024	0.178
YOR245C	0.210	-0.115	-0.095	-0.149	0.150	0.147	0.369	-0.132	0.084	0.262	-0.266	0.058	0.185	0.102	0.010	0.377
YOR246C	-0.136	-0.172	-0.515	-0.272	0.096	0.125	0.194	0.265	-0.385	0.156	0.338	-0.153	-0.252	-0.133	-0.037	0.240
YOR247W	0.230	0.329	-0.119	0.054	0.274	-0.118	0.397	-0.040	-0.099	0.321	0.138	0.094	0.193	0.146	0.318	0.046
YOR248W	0.185	0.395	-0.215	0.138	-0.153	-0.400	0.246	0.180	0.052	-0.210	-0.071	-0.191	0.007	0.210	-0.348	0.069
YOR251C	0.186	0.014	-0.074	0.356	0.256	0.220	0.286	0.289	0.421	0.403	0.713	0.067	-0.075	0.739	0.769	0.153
YOR252W	0.163	-0.025	-0.311	-0.112	0.127	0.099	0.315	0.203	-0.245	0.111	0.306	-0.280	-0.209	0.122	-0.081	0.057
YOR253W	-0.201	0.333	-0.243	-0.228	0.334	-0.303	0.028	0.023	-0.398	0.114	0.056	-0.247	-0.066	0.182	0.029	-0.590
YOR255W	-0.014	0.121	-0.272	-0.180	0.142	0.051	0.096	0.123	-0.277	0.119	0.173	-0.287	-0.112	-0.005	0.107	-0.091
YOR258W	-0.375	-1.298	0.217	-0.226	-0.164	0.306	-0.461	-1.142	-0.078	-0.049	-0.684	0.701	-0.068	-0.124	0.253	0.437
YOR263C	-0.017	0.228	-0.095	0.107	0.262	0.272	0.099	0.291	-0.123	0.237	0.204	-0.154	-0.065	0.175	0.248	0.025
YOR264W	-0.059	-0.049	-0.142	-0.029	0.219	0.103	-0.201	-0.060	-0.207	0.139	0.084	-0.164	-0.189	0.098	0.320	0.110
YOR265W	-0.540	-0.405	-0.390	-0.871	-0.121	-0.167	-0.841	-0.474	-1.206	-0.839	-0.473	0.176	-0.509	-0.751	-0.577	-0.190
YOR266W	-0.295	0.205	-0.479	-0.356	-0.037	-0.121	-0.097	0.247	-0.690	-0.103	0.224	-0.293	-0.189	0.080	0.006	-0.119
YOR267C	-0.095	0.137	-0.205	-0.346	0.179	0.245	-0.217	0.040	-0.567	0.099	0.281	-0.277	-0.104	0.004	0.220	-0.161
YOR268C	0.120	-0.002	-0.017	0.208	0.034	0.277	0.071	-0.051	0.050	0.150	0.080	0.091	0.073	0.313	0.225	-0.145
YOR269W	0.022	0.200	0.186	0.264	0.345	0.435	0.160	-0.023	0.063	0.429	0.073	-0.110	-0.061	-0.037	0.430	-0.516
YOR270C	0.548	-0.293	-0.224	-0.353	0.466	0.601	0.639	-0.509	0.745	0.329	-0.000	1.287	0.776	-0.000	0.753	-0.037
YOR271C	-0.049	0.252	-0.232	0.150	0.269	0.313	-0.096	0.358	0.038	0.181	0.339	-0.072	0.039	0.050	0.042	0.080
YOR273C	-0.415	0.244	0.017	-0.614	0.182	0.058	-0.001	0.009	-0.323	0.032	0.225	0.539	0.324	0.010	-0.419	0.531
YOR274W	-0.214	0.041	-0.340	0.123	-0.079	0.133	0.214	-0.096	0.188	0.229	0.495	-0.010	-0.179	-0.458	0.041	0.283
YOR275C	-0.451	-0.247	-0.417	-0.500	-0.144	0.008	-0.368	0.315	-1.065	-0.196	0.214	-0.932	-0.495	0.232	-0.115	-0.157
YOR276W	-0.240	-0.309	-0.241	-0.426	-0.488	-0.258	0.130	-0.171	-0.287	-0.438	0.064	-0.225	-0.393	-0.128	-0.152	-0.153
YOR277C	-0.038	-0.049	-0.005	-0.120	0.400	0.146	-0.076	0.024	-0.130	0.306	-0.333	-0.160	0.132	0.069	0.062	-0.140
YOR279C	-0.111	-1.015	-0.175	-0.311	0.237	-0.032	0.027	0.413	-0.319	0.329	0.487	-0.368	-0.312	0.169	0.217	-0.716
YOR280C	-0.199	-0.068	-0.151	-0.354	0.286	0.201	0.163	-0.126	-0.230	0.278	-0.113	-0.100	-0.006	-0.150	-0.279	0.105
YOR283W	-0.265	0.328	-0.273	-0.439	0.019	0.099	-0.047	0.127	-0.332	-0.007	0.005	-0.409	-0.429	-0.007	-0.042	0.064
YOR284W	-0.216	0.410	-0.309	-0.367	0.018	0.177	0.028	0.240	-0.430	0.086	0.171	-0.519	-0.337	-0.093	-0.067	-0.247
YOR285W	-0.034	0.277	-0.088	0.067	0.349	-0.229	0.008	0.314	-0.233	0.549	0.069	-0.090	-0.068	0.183	0.134	-0.349
YOR286W	-0.078	0.145	0.030	0.126	0.238	-0.490	-0.063	-0.042	0.107	0.488	-0.310	0.216	0.499	-0.029	-0.283	0.647
YOR288C	-0.083	0.480	-0.275	-0.064	0.091	-0.424	-0.015	0.133	-0.370	-0.046	0.231	-0.285	-0.307	0.391	0.137	0.375
YOR289W	-0.333	0.564	-0.341	-0.137	0.055	0.006	0.043	0.387	-0.385	0.136	0.196	-0.485	-0.454	0.029	0.346	-0.285
YOR290C	-1.145	-0.412	-0.974	-0.580	-0.478	-0.759	-1.563	0.097	-0.481	0.047	-0.000	0.201	0.707	-0.000	0.004	-2.403
YOR291W	-0.000	0.421	-0.000	-0.000	-0.000	-0.000	-0.000	0.049	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR292C	-0.733	0.094	-0.174	-0.109	0.204	0.068	0.164	0.301	-0.262	-0.071	0.011	-0.043	0.139	-0.062	-0.091	1.384
YOR293W	1.344	-0.000	1.280	1.414	0.808	0.804	0.542	-0.000	2.337	0.694	-0.000	1.065	0.717	-0.000	0.541	1.543
YOR295W	0.489	-0.000	0.209	1.043	-0.244	-0.153	0.199	-0.000	1.222	0.259	-0.000	0.427	-0.207	-0.000	0.009	0.320
YOR296W	-0.120	0.215	-0.349	-0.220	0.024	-0.014	0.302	0.042	-0.013	-0.210	-0.803	-0.048	0.222	0.122	0.074	0.339
YOR297C	-0.030	-0.495	-0.179	-0.093	-0.050	-0.211	0.162	0.122	-0.055	-0.158	0.120	-0.167	-0.376	-0.177	0.080	0.317
YOR298C-A	-0.057	0.247	-0.237	0.047	0.110	0.270	0.127	0.123	-0.133	0.125	0.249	-0.155	-0.261	0.113	0.221	-0.080
YOR298W	-0.165	0.565	-0.401	-0.374	0.148	0.121	-0.270	0.129	-0.424	0.063	0.142	-0.219	-0.491	0.184	-0.119	0.120
YOR299W	-0.368	0.335	-0.542	-0.309	-0.180	0.051	0.025	0.294	-0.300	-0.330	0.085	-0.083	-0.290	0.007	-0.182	0.107
YOR300W	-0.161	0.466	-0.439	-0.061	0.280	0.162	0.023	0.451	-0.345	0.238	-0.023	-0.346	-0.222	-0.007	0.259	-0.324
YOR301W	-0.000	0.160	-0.000	-0.000	-0.000	-0.000	-0.000	0.081	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000	-0.000
YOR302W	0.174	0.233	0.206	0.435	-0.075	-0.072	-0.311	0.026	0.056	-0.181	-0.639	0.099	-0.095	-0.062	0.211	-0.064
YOR303W	-0.147	0.415	-0.231	-0.122	-0.011	0.290	-0.062	0.134	-0.350	0.069	0.289	-0.328	-0.289	0.271	0.380	0.108
YOR304C-A	-0.129	0.093	-0.118	0.248	0.265	0.376	0.568	-0.148	0.020	0.148	-0.315	0.063	-0.306	-0.368	0.073	0.321
YOR304W	-0.302	0.469	-0.361	0.062	0.118	0.283	0.052	0.258	-0.251	0.088	0.396	-0.343	-0.218	0.200	0.038	0.426
YOR305W	0.853	0.083	0.913	1.078	-0.028	0.041	0.066	0.720	0.001	0.567	0.087	0.468	0.337	0.008	-0.002	-0.085
YOR306C	-0.216	0.449	-0.459	0.002	-0.342	-0.323	-0.343	0.332	-0.451	-0.256	0.121	-0.258	-0.264	0.406	-0.140	0.159
YOR307C	-0.006	0.179	0.047	0.025	0.029	0.213	-0.207	0.040	0.258	0.307	0.154	0.224	-0.242	0.337	-0.090	0.120
YOR308C	1.075	-0.103	0.716	0.754	0.587	0.348	0.616	-0.271	0.625	0.402	0.485	1.074	0.516	0.693	0.450	0.325
YOR309C	1.488	-0.000	1.124	1.562	0.409	0.697	1.301	-0.000	2.056	0.661	-0.000	1.061	0.770	-0.000	1.317	0.333
YOR311C	0.214	0.567	-0.109	0.148	0.003	-0.013	0.000	0.105	-0.091	-0.138	0.125	0.374	0.249	-0.065	-0.949	-0.162
YOR312C	0.258	0.446	-0.175	0.693	0.512	0.566	0.685	-0.383	1.586	0.013	-0.000	0.050	0.271	-0.000	-0.662	1.452
YOR313C	0.186	0.439	-0.111	0.275	-0.092	-0.018	0.122	0.369	0.010	-0.132	0.030	-0.058	0.056	0.506	-0.073	0.295
YOR314W	0.491	0.285	0.462	0.413	0.113	0.501	0.171	0.092	0.290	0.086	-0.112	0.343	0.505	0.311	0.133	0.192
YOR315W	0.406	0.369	0.252	0.664	0.155	0.177	0.154	-0.329	0.659	-0.196	-0.049	0.704	0.544	0.600	0.206	0.143
YOR316C	0.464	0.162	0.098	-0.099	0.373	0.566	0.186	0.012	0.153	0.276	0.134	0.656	0.544	0.287	0.359	-0.089
YOR317W	-0.246	0.058	-0.214	-0.278	0.061	-0.897	-0.365	0.186	-0.518	-0.235	-0.207	-0.037	-0.371	0.025	-0.037	0.202
YOR318C	-0.046	0.242	-0.733	-0.606	-0.109	-0.009	0.089	-0.185	-0.484	-0.037	-0.378	-0.119	-0.130	-0.115	-0.395	-0.296
YOR320C	-0.163	-0.050	-0.114	0.145	-0.360	-0.195	0.050	0.220	-0.425	-0.287	0.132	0.003	-0.010	0.046	-0.340	-0.263
YOR321W	-0.402	0.342	-0.434	0.003	-0.383	-0.106	0.125	0.196	-0.483	-0.360	-0.195	-0.351	-0.402	-0.155	0.044	-0.267
